   203;	20200310124233_575;	00003;00186;00186;00023;02791;02713;00985;00687;01006;31536;20876;01668!;	50;	3;	3;	1;	154;
   204;	20200310124233_657;	00003;00186;00186;00023;02791;02713;00985;00687;01006;31536;20876;01668!;	50;	2;	3;	1;	154;
   205;	20200310124233_786;	00003;00186;00186;00023;02791;02713;00985;00687;01006;31536;20876;01668!;	52;	2;	3;	1;	155;
   206;	20200310124233_835;	00003;00186;00186;00023;02791;02713;00985;00687;01006;31536;20876;01668!;	50;	3;	3;	1;	156;
   207;	20200310124233_932;	00003;00186;00186;00023;02790;02476;00962;00676;00996;31570;20876;01675!;	45;	3;	3;	1;	156;
   208;	20200310124234_021;	00003;00186;00186;00023;02790;02476;00962;00676;00996;31570;20876;01675!;	46;	3;	3;	1;	156;
   209;	20200310124234_118;	00003;00186;00186;00023;02790;02476;00962;00676;00996;31570;20876;01675!;	46;	2;	3;	1;	156;
   210;	20200310124234_221;	00003;00186;00186;00023;02790;02476;00962;00676;00996;31570;20876;01675!;	41;	3;	3;	1;	156;
   211;	20200310124234_381;	00003;00186;00186;00023;02790;02476;00962;00676;00996;31570;20876;01675!;	49;	3;	3;	1;	155;
   212;	20200310124234_429;	00003;00186;00186;00023;02790;02476;00962;00676;00996;31570;20876;01675!;	54;	3;	3;	1;	155;
